lon,lat,degree,mesh_code_2d
142.6875,43.2917,9°50′,644275
142.5625,43.2917,9°50′,644274
142.4375,43.2917,9°40′,644273
142.3125,43.2917,9°30′,644272
142.1875,43.2917,9°30′,644271
142.0625,43.2917,9°30′,644270
142.9375,43.2083,9°30′,644267
142.8125,43.2083,9°40′,644266
142.6875,43.2083,9°50′,644265
142.5625,43.2083,9°50′,644264
142.4375,43.2083,9°40′,644263
142.3125,43.2083,9°30′,644262
142.1875,43.2083,9°30′,644261
142.0625,43.2083,9°40′,644260
142.9375,43.125,9°30′,644257
142.8125,43.125,9°40′,644256
142.6875,43.125,9°50′,644255
142.5625,43.125,9°50′,644254
142.4375,43.125,9°50′,644253
142.3125,43.125,9°40′,644252
142.1875,43.125,9°40′,644251
142.0625,43.125,9°50′,644250
142.9375,43.0417,9°30′,644247
142.8125,43.0417,9°40′,644246
142.6875,43.0417,9°50′,644245
142.5625,43.0417,10° 0′,644244
142.4375,43.0417,10° 0′,644243
142.3125,43.0417,9°50′,644242
142.1875,43.0417,9°50′,644241
142.0625,43.0417,9°50′,644240
142.9375,42.9583,9°30′,644237
142.8125,42.9583,9°40′,644236
142.6875,42.9583,9°40′,644235
